Dataset,T,CV,ML algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time))
et/Main_Sentinel_padding_ralert,0,1,DT_r,0.7767044399034,0.657583752485761,0.694888183285826,0.657583752485761,0.671764167391422,0.742314116934744,0.135572910308838,0.001252174377441,0.136825084686279
et/Main_Sentinel_padding_ralert,0,2,DT_r,0.778097715028794,0.649316331024239,0.691801159384035,0.649316331024239,0.665637696563024,0.744024919020181,0.132020950317383,0.001142978668213,0.133163928985596
et/Main_Sentinel_padding_ralert,0,3,DT_r,0.777519739897817,0.661106464503502,0.701283445685078,0.661106464503502,0.676284758986307,0.744080382791686,0.131078243255615,0.001144886016846,0.132223129272461
et/Main_Sentinel_padding_ralert,0,4,DT_r,0.774640037157455,0.648758687762672,0.706477498516663,0.648758687762672,0.67038130039274,0.740224146643271,0.13105320930481,0.001156091690063,0.132209300994873
et/Main_Sentinel_padding_ralert,0,5,DT_r,0.782814677194612,0.659463059972935,0.711444403160336,0.659463059972935,0.676527727860794,0.749723957285744,0.131541967391968,0.001121044158936,0.132663011550903
et/Main_Sentinel_padding_ralert,0,6,DT_r,0.782164421737111,0.66745900068104,0.702061561992748,0.66745900068104,0.679648094879631,0.749796969608488,0.131118059158325,0.001748085021973,0.132866144180298
et/Main_Sentinel_padding_ralert,0,7,DT_r,0.771110078959591,0.649374327132282,0.679178932528841,0.649374327132282,0.659217231466649,0.736839831213327,0.130670070648193,0.001353979110718,0.132024049758911
et/Main_Sentinel_padding_ralert,0,8,DT_r,0.783836507199257,0.666954331722378,0.712025148675879,0.666954331722378,0.683304705506654,0.751534606507097,0.132936954498291,0.001268863677979,0.13420581817627
et/Main_Sentinel_padding_ralert,0,9,DT_r,0.779098931723177,0.656199025800286,0.699399592341647,0.656199025800286,0.672076689108625,0.745080374681064,0.133177757263184,0.001152038574219,0.134329795837402
et/Main_Sentinel_padding_ralert,0,10,DT_r,0.779098931723177,0.645380636608895,0.6903525913672,0.645380636608895,0.660377329771957,0.74467558015828,0.130640029907227,0.001236200332642,0.131876230239868
et/Main_Sentinel_padding_ralert,1,1,DT_r,0.779026565112391,0.649283549939155,0.693350393798006,0.649283549939155,0.662791002827301,0.74406781867845,0.133460998535156,0.001002073287964,0.13446307182312
et/Main_Sentinel_padding_ralert,1,2,DT_r,0.776425784878321,0.654998121875394,0.704054312452983,0.654998121875394,0.670645507626532,0.741650359321551,0.133543968200684,0.001175880432129,0.134719848632812
et/Main_Sentinel_padding_ralert,1,3,DT_r,0.780399442638179,0.667944604868289,0.714789029900324,0.667944604868289,0.685452681700046,0.747227441179519,0.131222009658813,0.001144886016846,0.132366895675659
et/Main_Sentinel_padding_ralert,1,4,DT_r,0.781978634463539,0.662359814276482,0.704282065248575,0.662359814276482,0.677448584231575,0.749721389895868,0.129730939865112,0.001114845275879,0.130845785140991
et/Main_Sentinel_padding_ralert,1,5,DT_r,0.783557826288899,0.660247180694154,0.71472904681258,0.660247180694154,0.678383052466661,0.750043249853807,0.130967855453491,0.000974178314209,0.1319420337677
et/Main_Sentinel_padding_ralert,1,6,DT_r,0.780120761727822,0.65725074140819,0.698433238588743,0.65725074140819,0.673378639138667,0.746444015019662,0.131781816482544,0.001234292984009,0.133016109466553
et/Main_Sentinel_padding_ralert,1,7,DT_r,0.775476079888528,0.660482361995108,0.713682590861311,0.660482361995108,0.675944423800352,0.740883129161614,0.133134126663208,0.001188993453979,0.134323120117188
